球員,位置,攻擊得分,攔網得分,發球得分,接發,防守,舉球,總得分,match_id,隊伍類型,球員名稱
施琅 #9,OutsideHitter,16,1,2,6,1,1,19,6064,客隊,施琅
漢佳 #2,OutsideHitter,13,1,2,6,1,3,16,6064,客隊,漢佳
吳宗軒 #11,OppositeHitter,10,2,0,0,1,1,12,6064,客隊,吳宗軒
汪秉勳 #15,MiddleBlocker,4,0,0,0,0,0,4,6064,客隊,汪秉勳
蔡秉諺 #14,MiddleBlocker,3,0,0,1,0,0,3,6064,客隊,蔡秉諺
薩蘭迪 #17,Setter,2,0,0,0,4,38,2,6064,客隊,薩蘭迪
黃謙巽 #18,OutsideHitter,0,0,0,0,0,0,0,6064,客隊,黃謙巽
莊哲育 #4,Setter,0,0,0,0,0,0,0,6064,客隊,莊哲育
林冠洲 #13,OutsideHitter,0,0,0,0,0,0,0,6064,客隊,林冠洲
張昀亮 #16,Libero,0,0,0,8,5,3,0,6064,客隊,張昀亮
宋柏霆 #12,OutsideHitter,0,0,0,2,0,0,0,6064,客隊,宋柏霆
施宗諭 #10,MiddleBlocker,0,0,0,0,0,0,0,6064,客隊,施宗諭
蘇厚禎 #20,Libero,0,0,0,0,0,0,0,6064,客隊,蘇厚禎
許廷恩 #44,OppositeHitter,0,0,0,0,0,0,0,6064,客隊,許廷恩
高偉誠 #9,OppositeHitter,10,0,1,0,2,0,11,6064,主隊,高偉誠
哈雷 #3,OutsideHitter,5,1,0,13,1,1,6,6064,主隊,哈雷
雷貝洛 #8,OutsideHitter,5,1,0,3,1,0,6,6064,主隊,雷貝洛
曾祥銘 #14,MiddleBlocker,2,1,0,0,0,0,3,6064,主隊,曾祥銘
郭宇祥 #12,Setter,0,2,0,0,3,14,2,6064,主隊,郭宇祥
安德烈 #5,MiddleBlocker,2,0,0,0,0,0,2,6064,主隊,安德烈
陳冠中 #21,MiddleBlocker,0,0,1,0,0,0,1,6064,主隊,陳冠中
趙宇陽 #7,Setter,0,0,0,0,0,15,0,6064,主隊,趙宇陽
簡顯銘 #10,Libero,0,0,0,6,1,0,0,6064,主隊,簡顯銘
楊子頡 #11,OutsideHitter,0,0,0,3,1,0,0,6064,主隊,楊子頡
范鍾坪圻 #18,Libero,0,0,0,0,2,0,0,6064,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6064,主隊,劉少宇
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6064,主隊,洪榮發
申承勳 #6,Setter,0,0,0,0,0,0,0,6064,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6064,主隊,陳冠銘
劉鴻敏 #7,OutsideHitter,28,1,1,11,7,0,30,6065,客隊,劉鴻敏
陳政錡 #4,MiddleBlocker,10,4,0,1,0,0,14,6065,客隊,陳政錡
豹爾文 #27,OppositeHitter,9,2,0,0,2,0,11,6065,客隊,豹爾文
許美中 #56,MiddleBlocker,8,3,0,10,3,0,11,6065,客隊,許美中
甘茂宏 #9,MiddleBlocker,7,2,0,1,1,1,9,6065,客隊,甘茂宏
洪𤋮鈞 #8,OppositeHitter,3,0,0,0,1,0,3,6065,客隊,洪𤋮鈞
黃仁威 #20,Setter,0,1,0,0,1,3,1,6065,客隊,黃仁威
高得益 #12,Setter,0,1,0,0,1,35,1,6065,客隊,高得益
李尼希米 #1,OutsideHitter,0,0,0,0,0,0,0,6065,客隊,李尼希米
李權紘 #66,OppositeHitter,0,0,0,0,0,0,0,6065,客隊,李權紘
鄭玉森 #16,Libero,0,0,0,8,7,1,0,6065,客隊,鄭玉森
阿薩力 #99,OutsideHitter,0,0,0,0,0,0,0,6065,客隊,阿薩力
花村和哉 #14,OutsideHitter,0,0,0,0,0,0,0,6065,客隊,花村和哉
利安 #10,OppositeHitter,0,0,0,0,0,0,0,6065,客隊,利安
穆多 #15,MiddleBlocker,0,0,0,0,0,0,0,6065,客隊,穆多
劉博元 #5,OutsideHitter,0,0,0,0,0,0,0,6065,客隊,劉博元
黃意凱 #32,Libero,0,0,0,0,0,0,0,6065,客隊,黃意凱
高偉誠 #9,OppositeHitter,25,0,0,0,5,0,25,6065,主隊,高偉誠
雷貝洛 #8,OutsideHitter,14,2,3,2,2,1,19,6065,主隊,雷貝洛
曾祥銘 #14,MiddleBlocker,14,0,0,0,0,0,14,6065,主隊,曾祥銘
哈雷 #3,OutsideHitter,11,0,1,14,4,0,12,6065,主隊,哈雷
安德烈 #5,MiddleBlocker,1,2,1,0,0,0,4,6065,主隊,安德烈
陳冠中 #21,MiddleBlocker,2,1,0,0,0,0,3,6065,主隊,陳冠中
楊子頡 #11,OutsideHitter,1,0,1,7,0,0,2,6065,主隊,楊子頡
郭宇祥 #12,Setter,0,2,0,0,2,32,2,6065,主隊,郭宇祥
趙宇陽 #7,Setter,0,1,0,0,0,13,1,6065,主隊,趙宇陽
簡顯銘 #10,Libero,0,0,0,13,6,0,0,6065,主隊,簡顯銘
范鍾坪圻 #18,Libero,0,0,0,0,3,0,0,6065,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6065,主隊,劉少宇
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6065,主隊,洪榮發
申承勳 #6,Setter,0,0,0,0,0,0,0,6065,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6065,主隊,陳冠銘
劉鴻敏 #7,OutsideHitter,9,1,1,6,0,1,11,6066,客隊,劉鴻敏
陳政錡 #4,MiddleBlocker,4,2,0,1,0,0,6,6066,客隊,陳政錡
豹爾文 #27,OppositeHitter,5,0,0,0,0,0,5,6066,客隊,豹爾文
許美中 #56,MiddleBlocker,3,1,0,3,1,0,4,6066,客隊,許美中
李權紘 #66,OppositeHitter,3,0,0,0,1,0,3,6066,客隊,李權紘
阿薩力 #99,OutsideHitter,2,0,0,3,1,1,2,6066,客隊,阿薩力
高得益 #12,Setter,0,0,1,0,0,6,1,6066,客隊,高得益
李尼希米 #1,OutsideHitter,0,0,0,0,0,0,0,6066,客隊,李尼希米
黃仁威 #20,Setter,0,0,0,0,0,7,0,6066,客隊,黃仁威
鄭玉森 #16,Libero,0,0,0,16,1,1,0,6066,客隊,鄭玉森
甘茂宏 #9,MiddleBlocker,0,0,0,0,0,0,0,6066,客隊,甘茂宏
洪𤋮鈞 #8,OppositeHitter,0,0,0,0,0,1,0,6066,客隊,洪𤋮鈞
花村和哉 #14,OutsideHitter,0,0,0,0,0,0,0,6066,客隊,花村和哉
利安 #10,OppositeHitter,0,0,0,0,0,0,0,6066,客隊,利安
穆多 #15,MiddleBlocker,0,0,0,0,0,0,0,6066,客隊,穆多
劉博元 #5,OutsideHitter,0,0,0,0,0,0,0,6066,客隊,劉博元
黃意凱 #32,Libero,0,0,0,0,0,0,0,6066,客隊,黃意凱
吳宗軒 #11,OppositeHitter,12,3,2,0,2,0,17,6066,主隊,吳宗軒
漢佳 #2,OutsideHitter,15,2,0,3,1,0,17,6066,主隊,漢佳
施琅 #9,OutsideHitter,12,2,2,13,2,3,16,6066,主隊,施琅
蔡秉諺 #14,MiddleBlocker,4,0,0,0,1,2,4,6066,主隊,蔡秉諺
汪秉勳 #15,MiddleBlocker,3,0,0,0,2,1,3,6066,主隊,汪秉勳
黃謙巽 #18,OutsideHitter,1,1,0,0,0,0,2,6066,主隊,黃謙巽
莊哲育 #4,Setter,0,0,0,0,0,1,0,6066,主隊,莊哲育
林冠洲 #13,OutsideHitter,0,0,0,0,0,0,0,6066,主隊,林冠洲
張昀亮 #16,Libero,0,0,0,6,9,1,0,6066,主隊,張昀亮
宋柏霆 #12,OutsideHitter,0,0,0,0,0,0,0,6066,主隊,宋柏霆
施宗諭 #10,MiddleBlocker,0,0,0,0,0,0,0,6066,主隊,施宗諭
蘇厚禎 #20,Libero,0,0,0,0,0,0,0,6066,主隊,蘇厚禎
薩蘭迪 #17,Setter,0,0,0,0,3,15,0,6066,主隊,薩蘭迪
許廷恩 #44,OppositeHitter,0,0,0,0,0,0,0,6066,主隊,許廷恩
阿巴西 #77,OutsideHitter,10,3,1,6,0,0,14,6067,客隊,阿巴西
思丹 #10,OppositeHitter,12,0,0,0,1,0,12,6067,客隊,思丹
陳建禎 #19,OutsideHitter,10,0,0,9,4,0,10,6067,客隊,陳建禎
馬亞拉 #17,MiddleBlocker,6,1,1,0,0,0,8,6067,客隊,馬亞拉
彭浩銘 #2,MiddleBlocker,2,1,0,0,1,0,3,6067,客隊,彭浩銘
周冠宇 #11,OppositeHitter,2,0,0,0,0,0,2,6067,客隊,周冠宇
